No,名前,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早,おもさ,とくせい1,とくせい2,かくれとくせい,使用可能
36,ピクシー,フェアリー,,95,70,73,95,90,60,40,メロメロボディ,マジックガード,てんねん,TRUE
36,メガピクシー,フェアリー,ひこう,95,80,93,135,110,70,42.3,マジックミラー,,,TRUE
37,ロコン,ほのお,,38,41,40,50,65,65,9.9,もらいび,,ひでり,
37,ロコンA,こおり,,38,41,40,50,65,65,9.9,ゆきがくれ,,ゆきふらし,
38,キュウコン,ほのお,,73,76,75,81,100,100,19.9,もらいび,,ひでり,TRUE
38,キュウコンA,こおり,フェアリー,73,67,75,81,100,109,19.9,ゆきがくれ,,ゆきふらし,TRUE
39,プリン,ノーマル,フェアリー,115,45,20,45,25,20,5.5,メロメロボディ,かちき,フレンドガード,
40,プクリン,ノーマル,フェアリー,140,70,45,85,50,45,12,メロメロボディ,かちき,おみとおし,TRUE
41,ズバット,どく,ひこう,40,45,35,30,40,55,7.5,せいしんりょく,,すりぬけ,
42,ゴルバット,どく,ひこう,75,80,70,65,75,90,55,せいしんりょく,,すりぬけ,
43,ナゾノクサ,くさ,どく,45,50,55,75,65,30,5.4,ようりょくそ,,にげあし,
44,クサイハナ,くさ,どく,60,65,70,85,75,40,8.6,ようりょくそ,,あくしゅう,
45,ラフレシア,くさ,どく,75,80,85,110,90,50,18.6,ようりょくそ,,ほうし,TRUE
46,パラス,むし,くさ,35,70,55,45,55,25,5.4,ほうし,かんそうはだ,しめりけ,
47,パラセクト,むし,くさ,60,95,80,60,80,30,29.5,ほうし,かんそうはだ,しめりけ,
48,コンパン,むし,どく,60,55,50,40,55,45,30,ふくがん,いろめがね,にげあし,
49,モルフォン,むし,どく,70,65,60,90,75,90,12.5,りんぷん,いろめがね,ミラクルスキン,
50,ディグダ,じめん,,10,55,25,35,45,95,0.8,すながくれ,ありじごく,すなのちから,
50,ディグダA,じめん,はがね,10,55,30,35,45,90,1,すながくれ,カーリーヘアー,すなのちから,
51,ダグトリオ,じめん,,35,100,50,50,70,120,33.3,すながくれ,ありじごく,すなのちから,
51,ダグトリオA,じめん,はがね,35,100,60,50,70,110,66.6,すながくれ,カーリーヘアー,すなのちから,
52,ニャース,ノーマル,,40,45,35,40,40,90,4.2,ものひろい,テクニシャン,きんちょうかん,
52,ニャースA,あく,,40,35,35,50,40,90,4.2,ものひろい,テクニシャン,びびり,
53,ペルシアン,ノーマル,,65,70,60,65,65,115,32,じゅうなん,テクニシャン,きんちょうかん,TRUE
53,ペルシアンA,あく,,65,60,60,75,65,115,33,ファーコート,テクニシャン,びびり,TRUE
54,コダック,みず,,50,52,48,65,50,55,19.6,しめりけ,ノーてんき,すいすい,
55,ゴルダック,みず,,80,82,78,95,80,85,76.6,しめりけ,ノーてんき,すいすい,
56,マンキー,かくとう,,40,80,35,35,45,70,28,やるき,いかりのつぼ,まけんき,
57,オコリザル,かくとう,,65,105,60,60,70,95,32,やるき,いかりのつぼ,まけんき,
58,ガーディ,ほのお,,55,70,45,70,50,60,19,いかく,もらいび,せいぎのこころ,
59,ウインディ,ほのお,,90,110,80,100,80,95,155,いかく,もらいび,せいぎのこころ,TRUE
59,ウインディH,ほのお,いわ,95,115,85,95,80,90,168,いかく,もらいび,いしあたま,TRUE
60,ニョロモ,みず,,40,50,40,40,40,90,12.4,ちょすい,しめりけ,すいすい,
61,ニョロゾ,みず,,65,65,65,50,50,90,20,ちょすい,しめりけ,すいすい,
62,ニョロボン,みず,かくとう,90,95,95,70,90,70,54,ちょすい,しめりけ,すいすい,
63,ケーシィ,エスパー,,25,20,15,105,55,90,19.5,シンクロ,せいしんりょく,マジックガード,
64,ユンゲラー,エスパー,,40,35,30,120,70,105,56.5,シンクロ,せいしんりょく,マジックガード,
65,フーディン,エスパー,,55,50,45,135,95,120,48,シンクロ,せいしんりょく,マジックガード,TRUE
65,メガフーディン,エスパー,,55,50,65,175,105,150,48,トレース,,,TRUE
66,ワンリキー,かくとう,,70,80,50,35,35,35,19.5,こんじょう,ノーガード,ふくつのこころ,
67,ゴーリキー,かくとう,,80,100,70,50,60,45,70.5,こんじょう,ノーガード,ふくつのこころ,
68,カイリキー,かくとう,,90,130,80,65,85,55,130,こんじょう,ノーガード,ふくつのこころ,TRUE
69,マダツボミ,くさ,どく,50,75,35,70,30,40,4,ようりょくそ,,くいしんぼう,
70,ウツドン,くさ,どく,65,90,50,85,45,55,6.4,ようりょくそ,,くいしんぼう,
71,ウツボット,くさ,どく,80,105,65,100,70,70,15.5,ようりょくそ,,くいしんぼう,TRUE
71,メガウツボット,くさ,どく,80,125,85,135,95,70,125.5,とびだすなかみ,,,TRUE
72,メノクラゲ,みず,どく,40,40,35,50,100,70,45.5,クリアボディ,ヘドロえき,あめうけざら,
73,ドククラゲ,みず,どく,80,70,65,80,120,100,55,クリアボディ,ヘドロえき,あめうけざら,
74,イシツブテ,いわ,じめん,40,80,100,30,30,20,20,いしあたま,がんじょう,すながくれ,
74,イシツブテA,いわ,でんき,40,80,100,30,30,20,20.3,じりょく,がんじょう,エレキスキン,
75,ゴローン,いわ,じめん,55,95,115,45,45,35,105,いしあたま,がんじょう,すながくれ,
75,ゴローンA,いわ,でんき,55,95,115,45,45,35,110,じりょく,がんじょう,エレキスキン,
76,ゴローニャ,いわ,じめん,80,120,130,55,65,45,300,いしあたま,がんじょう,すながくれ,
76,ゴローニャA,いわ,でんき,80,120,130,55,65,45,316,じりょく,がんじょう,エレキスキン,
77,ポニータ,エスパー,,50,85,55,65,65,90,30,にげあし,もらいび,ほのおのからだ,
78,ギャロップ,エスパー,フェアリー,65,100,70,80,80,105,95,にげあし,もらいび,ほのおのからだ,
79,ヤドン,みず,エスパー,90,65,65,40,40,15,36,どんかん,マイペース,さいせいりょく,
79,ヤドンG,エスパー,どく,90,65,65,40,40,15,36,くいしんぼう,マイペース,さいせいりょく,
80,ヤドラン,みず,エスパー,95,75,110,100,80,30,78.5,どんかん,マイペース,さいせいりょく,TRUE
80,ヤドランG,どく,エスパー,95,100,95,100,70,30,70.5,クイックドロウ,マイペース,さいせいりょく,TRUE
80,メガヤドラン,みず,エスパー,95,75,180,130,80,30,120,シェルアーマー,,,TRUE
81,コイル,でんき,はがね,25,35,70,95,55,45,6,じりょく,がんじょう,アナライズ,
82,レアコイル,でんき,はがね,50,60,95,120,70,70,60,じりょく,がんじょう,アナライズ,
83,カモネギ,ノーマル,ひこう,52,90,55,58,62,60,15,するどいめ,せいしんりょく,まけんき,TRUE
83,カモネギG,かくとう,,52,95,55,58,62,55,42,ふくつのこころ,,きもったま,
84,ドードー,ノーマル,ひこう,35,85,45,35,35,75,39.2,にげあし,はやおき,ちどりあし,
85,ドードリオ,ノーマル,ひこう,60,110,70,60,60,110,85.2,にげあし,はやおき,ちどりあし,
86,パウワウ,みず,,65,45,55,45,70,45,90,あついしぼう,うるおいボディ,アイスボディ,
87,ジュゴン,みず,こおり,90,70,80,70,95,70,120,あついしぼう,うるおいボディ,アイスボディ,
88,ベトベター,どく,,80,80,50,40,50,25,30,あくしゅう,ねんちゃく,どくしゅ,
88,ベトベターA,どく,あく,80,80,50,40,50,25,42,どくしゅ,くいしんぼう,かがくのちから,
89,ベトベトン,どく,,105,105,75,65,100,50,30,あくしゅう,ねんちゃく,どくしゅ,
89,ベトベトンA,どく,あく,105,105,75,65,100,50,52,どくしゅ,くいしんぼう,かがくのちから,
90,シェルダー,みず,,30,65,100,45,25,40,4,シェルアーマー,スキルリンク,ぼうじん,
91,パルシェン,みず,こおり,50,95,180,85,45,70,132.5,シェルアーマー,スキルリンク,ぼうじん,
92,ゴース,ゴースト,どく,30,35,30,100,35,80,0.1,ふゆう,,,
93,ゴースト,ゴースト,どく,45,50,45,115,55,95,0.1,ふゆう,,,
94,ゲンガー,ゴースト,どく,60,65,60,130,75,110,40.5,のろわれボディ,,,TRUE
94,メガゲンガー,ゴースト,どく,60,65,80,170,95,130,40.5,かげふみ,,,TRUE
95,イワーク,いわ,じめん,35,45,160,30,45,70,210,いしあたま,がんじょう,くだけるよろい,
96,スリープ,エスパー,,60,48,45,43,90,42,32.4,ふみん,よちむ,せいしんりょく,
97,スリーパー,エスパー,,85,73,70,73,115,67,75.6,ふみん,よちむ,せいしんりょく,
98,クラブ,みず,,30,105,90,25,25,50,6.5,かいりきバサミ,シェルアーマー,ちからずく,
99,キングラー,みず,,55,130,115,50,50,75,60,かいりきバサミ,シェルアーマー,ちからずく,
100,ビリリダマ,でんき,,40,30,50,55,55,100,10.4,ぼうおん,せいでんき,ゆうばく,
101,マルマイン,でんき,,60,50,70,80,80,150,66.6,ぼうおん,せいでんき,ゆうばく,
102,タマタマ,くさ,エスパー,60,40,80,60,45,40,2.5,ようりょくそ,,しゅうかく,
103,ナッシー,くさ,エスパー,95,95,85,125,75,55,120,ようりょくそ,,しゅうかく,
103,ナッシーA,くさ,ドラゴン,95,105,85,125,75,45,415.6,おみとおし,,しゅうかく,
104,カラカラ,じめん,,50,50,95,40,50,35,6.5,いしあたま,ひらいしん,カブトアーマー,
105,ガラガラ,じめん,,60,80,110,50,80,45,45,いしあたま,ひらいしん,カブトアーマー,
105,ガラガラA,ほのお,ゴースト,60,80,110,50,80,45,34,のろわれボディ,ひらいしん,いしあたま,
106,サワムラー,かくとう,,50,120,53,35,110,87,49.8,じゅうなん,すてみ,かるわざ,
107,エビワラー,かくとう,,50,105,79,35,110,76,50.2,するどいめ,てつのこぶし,せいしんりょく,
108,ベロリンガ,ノーマル,,90,55,75,60,75,30,65.5,マイペース,どんかん,ノーてんき,
109,ドガース,どく,,40,65,95,60,45,35,1,ふゆう,かがくへんかガス,あくしゅう,
110,マタドガス,どく,,65,90,120,85,70,60,9.5,ふゆう,かがくへんかガス,あくしゅう,
110,マタドガスG,どく,フェアリー,65,90,120,85,70,60,16,ふゆう,かがくへんかガス,ミストメイカー,
111,サイホーン,じめん,いわ,80,85,95,30,30,25,115,ひらいしん,いしあたま,すてみ,
112,サイドン,じめん,いわ,105,130,120,45,45,40,120,ひらいしん,いしあたま,すてみ,
113,ラッキー,ノーマル,,250,5,5,35,105,50,34.6,しぜんかいふく,てんのめぐみ,いやしのこころ,
114,モンジャラ,くさ,,65,55,115,100,40,60,35,ようりょくそ,リーフガード,さいせいりょく,
115,ガルーラ,ノーマル,,105,95,80,40,80,90,80,はやおき,きもったま,せいしんりょく,TRUE
115,メガガルーラ,ノーマル,,105,125,100,60,100,100,100,おやこあい,,,TRUE
116,タッツー,みず,,30,40,70,70,25,60,8,すいすい,スナイパー,しめりけ,
117,シードラ,みず,,55,65,95,95,45,85,25,どくのトゲ,スナイパー,しめりけ,
118,トサキント,みず,,45,67,60,35,50,63,15,すいすい,みずのベール,ひらいしん,
119,アズマオウ,みず,,80,92,65,65,80,68,39,すいすい,みずのベール,ひらいしん,
120,ヒトデマン,みず,,30,45,55,70,55,85,34.5,はっこう,しぜんかいふく,アナライズ,
121,スターミー,みず,エスパー,60,75,85,100,85,115,80,はっこう,しぜんかいふく,アナライズ,TRUE
121,メガスターミー,みず,エスパー,60,100,105,130,105,120,80,ちからもち,,,TRUE
122,バリヤード,エスパー,フェアリー,40,45,65,100,120,90,54.5,ぼうおん,フィルター,テクニシャン,TRUE
123,ストライク,むし,ひこう,70,110,80,55,80,105,56,むしのしらせ,テクニシャン,ふくつのこころ,
124,ルージュラ,こおり,エスパー,65,50,35,115,95,95,40.6,どんかん,よちむ,かんそうはだ,
125,エレブー,でんき,,65,83,57,95,85,105,30,せいでんき,,やるき,
126,ブーバー,ほのお,,65,95,57,100,85,93,44.5,ほのおのからだ,,やるき,
127,カイロス,むし,,65,125,100,55,70,85,55,かいりきバサミ,かたやぶり,じしんかじょう,TRUE
127,メガカイロス,むし,ひこう,65,155,120,65,90,105,59,スカイスキン,,,TRUE
128,ケンタロス,ノーマル,,75,100,95,40,70,110,88.4,いかく,いかりのつぼ,ちからずく,TRUE
128,ケンタロスP,かくとう,,75,110,105,30,70,100,490,いかく,いかりのつぼ,はんすう,TRUE
128,ケンタロスP炎,かくとう,ほのお,75,110,105,30,70,100,490,いかく,いかりのつぼ,はんすう,TRUE
128,ケンタロスP水,かくとう,みず,75,110,105,30,70,100,490,いかく,いかりのつぼ,はんすう,TRUE
129,コイキング,みず,,20,10,55,15,20,80,10,すいすい,,びびり,
130,ギャラドス,みず,ひこう,95,125,79,60,100,81,235,いかく,,じしんかじょう,TRUE
130,メガギャラドス,みず,あく,95,155,109,70,130,81,305,かたやぶり,,,TRUE
131,ラプラス,みず,こおり,130,85,80,85,95,60,220,ちょすい,シェルアーマー,うるおいボディ,
132,メタモン,ノーマル,,48,48,48,48,48,48,4,じゅうなん,,かわりもの,TRUE
133,イーブイ,ノーマル,,55,55,50,45,65,55,6.5,にげあし,てきおうりょく,きけんよち,
134,シャワーズ,みず,,130,65,60,110,95,65,29,ちょすい,,うるおいボディ,TRUE
135,サンダース,でんき,,65,65,60,110,95,130,24.5,ちくでん,,はやあし,TRUE
136,ブースター,ほのお,,65,130,60,95,110,65,25,もらいび,,こんじょう,TRUE
137,ポリゴン,ノーマル,,65,60,70,85,75,40,36.5,トレース,ダウンロード,アナライズ,
138,オムナイト,いわ,みず,35,40,100,90,55,35,7.5,すいすい,シェルアーマー,くだけるよろい,
139,オムスター,いわ,みず,70,60,125,115,70,55,35,すいすい,シェルアーマー,くだけるよろい,
140,カブト,いわ,みず,30,80,90,55,45,55,11.5,すいすい,カブトアーマー,くだけるよろい,
141,カブトプス,いわ,みず,60,115,105,65,70,80,40.5,すいすい,カブトアーマー,くだけるよろい,
142,プテラ,いわ,ひこう,80,105,65,60,75,130,59,いしあたま,プレッシャー,きんちょうかん,TRUE
142,メガプテラ,いわ,ひこう,80,135,85,70,95,150,79,かたいツメ,,,TRUE
143,カビゴン,ノーマル,,160,110,65,65,110,30,460,めんえき,あついしぼう,くいしんぼう,TRUE
144,フリーザー,こおり,ひこう,90,85,100,95,125,85,55.4,プレッシャー,,ゆきがくれ,
144,フリーザーG,エスパー,ひこう,90,85,85,125,100,95,580,かちき,,,
145,サンダー,でんき,ひこう,90,90,85,125,90,100,52.6,プレッシャー,,せいでんき,
145,サンダーG,かくとう,ひこう,90,125,90,85,90,100,580,まけんき,,,
146,ファイヤー,ほのお,ひこう,90,100,90,125,85,90,60,プレッシャー,,ほのおのからだ,
146,ファイヤーG,あく,ひこう,90,85,90,100,125,90,580,ぎゃくじょう,,,
147,ミニリュウ,ドラゴン,,41,64,45,50,50,50,3.3,だっぴ,,ふしぎなうろこ,
148,ハクリュー,ドラゴン,,61,84,65,70,70,70,16.5,だっぴ,,ふしぎなうろこ,
149,カイリュー,ドラゴン,ひこう,91,134,95,100,100,80,210,せいしんりょく,,マルチスケイル,TRUE
149,メガカイリュー,ドラゴン,ひこう,91,124,115,145,125,100,290,マルチスケイル,,,TRUE
150,ミュウツー,エスパー,,106,110,90,154,90,130,122,プレッシャー,,きんちょうかん,
150,メガミュウツーX,エスパー,かくとう,106,190,100,154,100,130,127,ふくつのこころ,,,
150,メガミュウツーY,エスパー,,106,150,70,194,120,140,127,ふみん,,,
151,ミュウ,エスパー,,100,100,100,100,100,100,4,シンクロ,,,
152,チコリータ,くさ,,45,49,65,49,65,45,6.4,しんりょく,,リーフガード,
153,ベイリーフ,くさ,,60,62,80,63,80,60,15.8,しんりょく,,リーフガード,
154,メガニウム,くさ,,80,82,100,83,100,80,100.5,しんりょく,,リーフガード,TRUE
154,メガメガニウム,くさ,フェアリー,80,92,115,143,115,80,100.5,メガソーラー,,,TRUE
155,ヒノアラシ,ほのお,,39,52,43,60,50,65,7.9,もうか,,もらいび,
156,マグマラシ,ほのお,,58,64,58,80,65,80,19,もうか,,もらいび,
157,バクフーン,ほのお,,78,84,78,109,85,100,79.5,もうか,,もらいび,TRUE
157,バクフーンH,ほのお,ゴースト,73,84,78,119,85,95,69.8,もうか,,おみとおし,TRUE
158,ワニノコ,みず,,50,65,64,44,48,43,9.5,げきりゅう,,ちからずく,
159,アリゲイツ,みず,,65,80,80,59,63,58,25,げきりゅう,,ちからずく,
160,オーダイル,みず,,85,105,100,79,83,78,88.8,げきりゅう,,ちからずく,TRUE
160,メガオーダイル,みず,ドラゴン,85,160,125,89,93,78,108.8,ドラゴンスキン,,,TRUE
161,オタチ,ノーマル,,35,46,34,35,45,20,6,にげあし,するどいめ,おみとおし,
162,オオタチ,ノーマル,,85,76,64,45,55,90,32.5,にげあし,するどいめ,おみとおし,
163,ホーホー,ノーマル,ひこう,60,30,30,36,56,50,21.2,ふみん,するどいめ,いろめがね,
164,ヨルノズク,ノーマル,ひこう,100,50,50,86,96,70,40.8,ふみん,するどいめ,いろめがね,
165,レディバ,むし,ひこう,40,20,30,40,80,55,10.8,むしのしらせ,はやおき,びびり,
166,レディアン,むし,ひこう,55,35,50,55,110,85,35.6,むしのしらせ,はやおき,てつのこぶし,
167,イトマル,むし,どく,40,60,40,40,40,30,8.5,むしのしらせ,ふみん,スナイパー,
168,アリアドス,むし,どく,70,90,70,60,70,40,33.5,むしのしらせ,ふみん,スナイパー,TRUE
169,クロバット,どく,ひこう,85,90,80,70,80,130,75,せいしんりょく,,すりぬけ,
170,チョンチー,みず,でんき,75,38,38,56,56,67,12,ちくでん,はっこう,ちょすい,
171,ランターン,みず,でんき,125,58,58,76,76,67,22.5,ちくでん,はっこう,ちょすい,
172,ピチュー,でんき,,20,40,15,35,35,60,2,せいでんき,,ひらいしん,
173,ピィ,フェアリー,,50,25,28,45,55,15,3,メロメロボディ,マジックガード,フレンドガード,
174,ププリン,ノーマル,フェアリー,90,30,15,40,20,15,1,メロメロボディ,かちき,フレンドガード,
175,トゲピー,フェアリー,,35,20,65,40,65,20,1.5,はりきり,てんのめぐみ,きょううん,
176,トゲチック,フェアリー,ひこう,55,40,85,80,105,40,3.2,はりきり,てんのめぐみ,きょううん,
177,ネイティ,エスパー,ひこう,40,50,45,70,45,70,2,シンクロ,はやおき,マジックミラー,
178,ネイティオ,エスパー,ひこう,65,75,70,95,70,95,15,シンクロ,はやおき,マジックミラー,
179,メリープ,でんき,,55,40,40,65,45,35,7.8,せいでんき,,プラス,
180,モココ,でんき,,70,55,55,80,60,45,13.3,せいでんき,,プラス,
181,メガデンリュウ,でんき,ドラゴン,90,95,105,165,110,45,61.5,かたやぶり,,,TRUE
181,デンリュウ,でんき,,90,75,85,115,90,55,61.5,せいでんき,,プラス,TRUE
182,キレイハナ,くさ,,75,80,95,90,100,50,5.8,ようりょくそ,,いやしのこころ,
183,マリル,みず,フェアリー,70,20,50,20,50,40,8.5,あついしぼう,ちからもち,そうしょく,
184,マリルリ,みず,フェアリー,100,50,80,60,80,50,28.5,あついしぼう,ちからもち,そうしょく,TRUE
185,ウソッキー,いわ,,70,100,115,30,65,30,38,がんじょう,いしあたま,びびり,
186,ニョロトノ,みず,,90,75,75,90,100,70,33.9,ちょすい,しめりけ,あめふらし,TRUE
187,ハネッコ,くさ,ひこう,35,35,40,35,55,50,0.5,ようりょくそ,リーフガード,すりぬけ,
188,ポポッコ,くさ,ひこう,55,45,50,45,65,80,1,ようりょくそ,リーフガード,すりぬけ,
189,ワタッコ,くさ,ひこう,75,55,70,55,95,110,3,ようりょくそ,リーフガード,すりぬけ,
190,エイパム,ノーマル,,55,70,55,40,55,85,11.5,にげあし,ものひろい,スキルリンク,
191,ヒマナッツ,くさ,,30,30,30,30,30,30,1.8,ようりょくそ,サンパワー,はやおき,
192,キマワリ,くさ,,75,75,55,105,85,30,8.5,ようりょくそ,サンパワー,はやおき,
193,ヤンヤンマ,むし,ひこう,65,65,45,75,45,95,38,かそく,ふくがん,おみとおし,
194,ウパー,みず,じめん,55,45,45,25,25,15,8.5,しめりけ,ちょすい,てんねん,
195,ヌオー,みず,じめん,95,85,85,65,65,35,75,しめりけ,ちょすい,てんねん,
196,エーフィ,エスパー,,65,65,60,130,95,110,26.5,シンクロ,,マジックミラー,TRUE
197,ブラッキー,あく,,95,65,110,60,130,65,27,シンクロ,,せいしんりょく,TRUE
198,ヤミカラス,あく,ひこう,60,85,42,85,42,91,2.1,ふみん,きょううん,いたずらごころ,
199,ヤドキング,みず,エスパー,95,75,80,100,110,30,79.5,どんかん,マイペース,さいせいりょく,TRUE
199,ヤドキングG,エスパー,どく,95,75,80,100,110,30,79.5,きみょうなくすり,マイペース,さいせいりょく,TRUE
200,ムウマ,ゴースト,,60,60,60,85,85,85,1,ふゆう,,,
201,アンノーン,エスパー,,48,72,48,72,48,48,5,ふゆう,,,
202,ソーナンス,エスパー,,190,33,58,33,58,33,28.5,かげふみ,,テレパシー,
203,キリンリキ,ノーマル,エスパー,70,80,65,90,65,85,41.5,せいしんりょく,はやおき,そうしょく,
204,クヌギダマ,むし,,50,65,90,35,35,15,7.2,がんじょう,,ぼうじん,
205,フォレトス,むし,はがね,75,90,140,60,60,40,125.8,がんじょう,,ぼうじん,TRUE
206,ノコッチ,ノーマル,,100,70,70,65,65,45,14,てんのめぐみ,にげあし,びびり,
207,グライガー,じめん,ひこう,65,75,105,35,65,85,64.8,かいりきバサミ,すながくれ,めんえき,
208,メガハガネール,はがね,じめん,75,125,230,55,95,30,740,すなのちから,,,TRUE
208,ハガネール,はがね,じめん,75,85,200,55,65,30,400,いしあたま,がんじょう,ちからずく,TRUE
209,ブルー,フェアリー,,60,80,50,40,40,30,7.8,いかく,にげあし,びびり,
210,グランブル,フェアリー,,90,120,75,60,60,45,48.7,いかく,はやあし,びびり,
211,ハリーセン,みず,どく,65,95,85,55,55,85,3.9,どくのトゲ,すいすい,いかく,TRUE
212,メガハッサム,むし,はがね,70,150,140,65,100,75,125,テクニシャン,,,TRUE
212,ハッサム,むし,はがね,70,130,100,55,80,65,118,むしのしらせ,テクニシャン,ライトメタル,TRUE
213,ツボツボ,むし,いわ,20,10,230,10,230,5,20.5,がんじょう,くいしんぼう,あまのじゃく,
214,メガヘラクロス,むし,かくとう,80,185,115,40,105,75,62.5,スキルリンク,,,TRUE
214,ヘラクロス,むし,かくとう,80,125,75,40,95,85,54,むしのしらせ,こんじょう,じしんかじょう,TRUE
215,ニューラ,あく,こおり,55,95,55,35,75,115,28,せいしんりょく,するどいめ,わるいてぐせ,
216,ヒメグマ,ノーマル,,60,80,50,50,50,40,8.8,ものひろい,はやあし,みつあつめ,
217,リングマ,ノーマル,,90,130,75,75,75,55,125.8,こんじょう,はやあし,きんちょうかん,
218,マグマッグ,ほのお,,40,40,40,70,40,20,35,マグマのよろい,ほのおのからだ,くだけるよろい,
219,マグカルゴ,ほのお,いわ,60,50,120,90,80,30,55,マグマのよろい,ほのおのからだ,くだけるよろい,
220,ウリムー,こおり,じめん,50,50,40,30,30,50,6.5,どんかん,ゆきがくれ,あついしぼう,
221,イノムー,こおり,じめん,100,100,80,60,60,50,55.8,どんかん,ゆきがくれ,あついしぼう,
222,サニーゴ,みず,いわ,65,55,95,65,95,35,5,はりきり,しぜんかいふく,さいせいりょく,
223,テッポウオ,みず,,35,65,35,65,35,65,12,はりきり,スナイパー,ムラっけ,
