name,type,category,power,hits,alwaysCrit,teraAdative,notes,接触,切る技,音技,命中,PP,効果
いじげんホール,エスパー,特殊,80,1,,,,,,,,,
いじげんラッシュ,あく,物理,100,1,,,,,,,,,
いっちょうあがり,ドラゴン,物理,80,1,,,,,,,,,
いてつくしせん,エスパー,特殊,90,1,,,,,,,,,
イナズマドライブ,でんき,特殊,100,1,,,,,,,,,
いにしえのうた,ノーマル,特殊,75,1,,,,,,,,,
いびき,ノーマル,特殊,50,1,,,,,,TRUE,100,16,自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
いわおとし,いわ,物理,50,1,,,,,,,,,
いわくだき,かくとう,物理,40,1,,,,,,,,,
いわなだれ,いわ,物理,75,1,,,,,,,90,12,30%の確率で相手をひるませる。
インファイト,かくとう,物理,120,1,,,,TRUE,,,100,8,攻撃後、自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ下がる。
ウェーブタックル,みず,物理,120,1,,,,TRUE,,,100,12,相手に与えたダメージの33%を自分も受ける。
ウェザーボール,ノーマル,特殊,50,1,,,,,,,100,12,天気が『にほんばれ』の時は『ほのお』タイプ、『あめ』の時は『みず』タイプ、『ゆき』の時は『こおり』タイプ、『すなあらし』の時は『いわ』タイプになり、威力が2倍になる。ダイマックス技や第7世代のZワザもタイプが変わる。
うずしお,みず,特殊,35,1,,,,,,,85,16,相手を『バインド』状態にして、4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。
うたかたのアリア,みず,特殊,90,1,,,,,,TRUE,100,12,相手の『やけど』状態を治す。音系の技。相手の『みがわり』状態を貫通する。
うちおとす,いわ,物理,50,1,,,,,,,100,16,特性『ふゆう』や、『ひこう』タイプのポケモンに『じめん』タイプの技が当たるようになる。。また、空中状態の相手にも当たり、技『そらをとぶ』『とびはねる』『でんじふゆう』『テレキネシス』の効果が解除され、『でんじふゆう』『テレキネシス』は使用できなくなる。『フリーフォール』状態の相手にも命中する。
ウッドハンマー,くさ,物理,120,1,,,,TRUE,,,100,16,相手に与えたダメージの33%を自分も受ける。
ウッドホーン,くさ,物理,75,1,,,,TRUE,,,100,12,相手に与えたダメージの半分だけ自分のHPが回復する。
うっぷんばらし,あく,物理,75,1,,,,TRUE,,,100,8,そのターンの間に自分の能力ランクを下げられていると、威力が2倍になる(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクを下げられた場合も対象となる)。
うらみつらみ,ゴースト,特殊,75,1,,,,,,,100,12,100%の確率で相手の『こうげき』ランクを1段階下げる。
エアカッター,ひこう,特殊,60,1,,,,,TRUE,,95,20,急所に当たりやすい(急所ランク:+1)。
エアスラッシュ,ひこう,特殊,75,1,,,,,TRUE,,95,16,30%の確率で相手をひるませる。
エアロブラスト,ひこう,特殊,100,1,,,,,,,,,
エコーボイス,ノーマル,特殊,40,1,,,,,,,,,
えだづき,くさ,物理,40,1,,,,,,,,,
エナジーボール,くさ,特殊,90,1,,,,,,,100,12,10%の確率で相手の『とくぼう』ランクを1段階下げる。
エラがみ,みず,物理,85,1,,,,,,,,,
エレキネット,でんき,特殊,55,1,,,,,,,95,16,100%の確率で相手の『すばやさ』ランクを1段階下げる。
エレクトロビーム,でんき,特殊,130,1,,,,,,,100,12,1ターン目に100%の確率で自分の『とくこう』ランクを1段階上げ、2ターン目で攻撃する。天気が『あめ』の時は1ターンためずに攻撃できる。
オーバードライブ,でんき,特殊,80,1,,,,,,TRUE,,,
オーバーヒート,ほのお,特殊,130,1,,,,,,,90,8,攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
オーラウイング,エスパー,特殊,80,1,,,,,,,,,
オーラぐるま,でんき,物理,110,1,,,,,,,100,12,100%の確率で自分の『すばやさ』ランクが1段階上がる。自分の『モルペコ』のフォルムが『まんぷくもよう』の時は『でんき』タイプ、『はらぺこもよう』の時は『あく』タイプの技になる。
オーロラビーム,こおり,特殊,65,1,,,,,,,,,
おいうち,あく,物理,40,1,,,,,,,,,
おうふくビンタ,ノーマル,物理,15,2～5,,,,,,,,,
オクタンほう,みず,特殊,65,1,,,,,,,,,
おしゃべり,ひこう,特殊,65,1,,,,,,,,,
おどろかす,ゴースト,物理,30,1,,,,,,,,,
おはかまいり,ゴースト,物理,50,1,,,,,,,100,12,これまでに『ひんし』状態になった味方のポケモン1体につき、威力が50上がる。
かいりき,ノーマル,物理,80,1,,,,,,,,,
かえんぐるま,ほのお,物理,60,1,,,,,,,,,
かえんだん,ほのお,特殊,100,1,,,,,,,,,
かえんほうしゃ,ほのお,特殊,90,1,,,,,,,100,16,10%の確率で相手を『やけど』状態にする。
かえんボール,ほのお,物理,120,1,,,,,,,,,
かかとおとし,かくとう,物理,120,1,,,,TRUE,,,90,12,30%の確率で相手を1～4ターンの間『こんらん』状態にする。攻撃が外れたり、相手の技『まもる』などで失敗すると、自分の最大HPの半分のダメージを自分が受ける。
かげうち,ゴースト,物理,40,1,,,,TRUE,,,100,20,必ず先制できる(優先度:+1)。
かげぬい,ゴースト,物理,90,1,,,,,,,100,12,『ゴースト』タイプではない相手は逃げたり、交代できなくなる。自分が場を離れると効果は消える。
かぜおこし,ひこう,特殊,40,1,,,,,,,,,
かたきうち,ノーマル,物理,70,1,,,,,,,,,
かふんだんご,むし,特殊,90,1,,,,,,,100,16,味方に使った場合、ダメージではなく味方のHPを最大HPの1/2回復する。
かまいたち,ノーマル,特殊,80,1,,,,,,,,,
かみくだく,あく,物理,80,1,,,,TRUE,,,100,16,20%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
かみつく,あく,物理,60,1,,,,TRUE,,,100,20,30%の確率で相手をひるませる。
かみなり,でんき,特殊,110,1,,,,,,,70,12,30%の確率で相手を『まひ』状態にする。天気が『あめ』の時は必ず命中し、『にほんばれ』の時は命中率が50%になる。相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中する。
かみなりあらし,でんき,特殊,100,1,,,,,,,,,
かみなりのキバ,でんき,物理,65,1,,,,TRUE,,,95,16,10%の確率で相手を『まひ』状態にする。10%の確率で、相手をひるませる。
かみなりパンチ,でんき,物理,75,1,,,,TRUE,,,100,16,10%の確率で相手を『まひ』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
からげんき,ノーマル,物理,70,1,,,,TRUE,,,100,20,自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
からてチョップ,かくとう,物理,50,1,,,,,,,,,
からではさむ,みず,物理,35,1,,,,,,,,,
からみつく,ノーマル,物理,10,1,,,,,,,,,
かわらわり,かくとう,物理,75,1,,,,TRUE,,,100,16,相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
ガリョウテンセイ,ひこう,物理,120,1,,,,,,,,,
がんせきアックス,いわ,物理,65,1,,,,TRUE,TRUE,,90,16,攻撃後、相手の場を『ステルスロック』状態にする。
がんせきふうじ,いわ,物理,60,1,,,,,,,95,16,100%の確率で相手の『すばやさ』ランクを1段階下げる。
がんせきほう,いわ,物理,150,1,,,,,,,90,8,使用した次のターンは行動できない。
きあいだま,かくとう,特殊,120,1,,,,,,,70,8,10%の確率で相手の『とくぼう』ランクを1段階下げる。
きあいパンチ,かくとう,物理,150,1,,,,TRUE,,,100,20,必ず後攻になり(優先度:-3)、攻撃するまでに技を受けると失敗してしまう。特性『てつのこぶし』の時、威力が1.2倍になる。
きつけ,ノーマル,物理,70,1,,,,,,,,,
きまぐレーザー,ドラゴン,特殊,80,1,,,,,,,100,8,30%程度の確率で、威力が2倍になる。
きゅうけつ,むし,物理,80,1,,,,TRUE,,,100,12,相手に与えたダメージの半分だけ自分のHPが回復する。
きょけんとつげき,ドラゴン,物理,120,1,,,,,,,,,
きょじゅうざん,はがね,物理,100,1,,,,,,,,,
きょじゅうだん,はがね,物理,100,1,,,,,,,,,
キラースピン,どく,物理,30,1,,,,TRUE,,,100,16,自分が受けている技『うずしお』『からではさむ』『サンダープリズン』『しめつける』『すなじごく』『トラバサミ』『ほのおのうず』『マグマストーム』『まきつく』『やどりぎのタネ』および自分の場の『ステルスロック』『どくびし』『まきびし』『ねばねばネット』の効果を解除する。また、100%の確率で相手を『どく』状態にする。
きりさく,ノーマル,物理,80,1,,,,,TRUE,,,,
ギアソーサー,はがね,物理,50,1,,,,,,,,,
ギガインパクト,ノーマル,物理,150,1,,,,TRUE,,,90,8,使用した次のターンは行動できない。
ギガドレイン,くさ,特殊,75,1,,,,,,,100,12,相手に与えたダメージの半分だけ自分のHPが回復する。
ぎんいろのかぜ,むし,特殊,60,1,,,,,,,,,
クイックターン,みず,物理,60,1,,,,TRUE,,,100,20,攻撃後、手持ちのポケモンと入れ替わる。
くさのちかい,くさ,特殊,80,1,,,,,,,,,
くさわけ,くさ,物理,50,1,,,,TRUE,,,100,20,100%の確率で自分の『すばやさ』ランクが1段階上がる。
くちばしキャノン,ひこう,物理,120,1,,,,,,,100,8,必ず後攻になる(優先度:-3)。技が発動する前に接触技(直接攻撃)を受けると、そのポケモンを『やけど』状態にする。技はそのまま受ける。
くらいつく,あく,物理,80,1,,,,,,,,,
クラブハンマー,みず,物理,100,1,,,,TRUE,,,95,12,急所に当たりやすい(急所ランク:+1)。
クリアスモッグ,どく,特殊,50,1,,,,,,,-,16,相手の能力ランクの変化を元に戻す。自分の命中率、相手の回避率に関係なく必ず命中する。
クロスサンダー,でんき,物理,100,1,,,,,,,,,
クロスチョップ,かくとう,物理,100,1,,,,TRUE,,,80,8,急所に当たりやすい(急所ランク:+1)。
クロスフレイム,ほのお,特殊,100,1,,,,,,,,,
クロスポイズン,どく,物理,70,1,,,,TRUE,TRUE,,100,20,10%の確率で相手を『どく』状態にする。急所に当たりやすい(急所ランク:+1)。
クロロブラスト,くさ,特殊,150,1,,,,,,,,,
グラススライダー,くさ,物理,55,1,,,,TRUE,,,100,20,場の状態が『グラスフィールド』で、自分が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、必ず先制できる(優先度:+1)。
グラスミキサー,くさ,特殊,65,1,,,,,,,,,
グランドフォース,じめん,物理,90,1,,,,,,,,,
グロウパンチ,かくとう,物理,40,1,,,,,,,,,
げきりん,ドラゴン,物理,120,1,,,,TRUE,,,100,12,自分は『あばれ』状態となり、2～3ターン連続で攻撃し、他の行動はできない。その後1～4ターンの間『こんらん』状態になる。
ゲップ,どく,特殊,120,1,,,,,,,90,12,この技は『きのみ』を食べると使えるようになる。
げんしのちから,いわ,特殊,60,1,,,,,,,100,8,10%の確率で自分の『こうげき』『ぼうぎょ』『とくこう』『とくぼう』『すばやさ』ランクが1段階ずつ上がる。
コールドフレア,こおり,特殊,140,1,,,,,,,,,
コアパニッシャー,ドラゴン,特殊,100,1,,,,,,,,,
こうげきしれい,むし,物理,90,1,,,,,,,,,
こうそくスピン,ノーマル,物理,50,1,,,,TRUE,,,100,20,自分が受けている技『うずしお』『からではさむ』『サンダープリズン』『しめつける』『すなじごく』『トラバサミ』『ほのおのうず』『マグマストーム』『まきつく』『やどりぎのタネ』および自分の場の『ステルスロック』『どくびし』『まきびし』『ねばねばネット』の効果を解除する。第8世代からは、攻撃後、100%の確率で自分の『すばやさ』ランクが1段階上がる。(第7世代までは威力20)
こおりのいぶき,こおり,特殊,60,1,TRUE,,,,,,90,12,必ず急所に当たる。
こおりのキバ,こおり,物理,65,1,,,,TRUE,,,95,16,10%の確率で相手を『こおり』状態にする。10%の確率で、相手をひるませる。
こおりのつぶて,こおり,物理,40,1,,,,,,,100,20,必ず先制できる(優先度:+1)。
こがらしあらし,ひこう,特殊,100,1,,,,,,,,,
こごえるかぜ,こおり,特殊,55,1,,,,,,,95,16,100%の確率で相手の『すばやさ』ランクを1段階下げる。
こごえるせかい,こおり,特殊,65,1,,,,,,,,,
こちこちフロスト,こおり,特殊,100,1,,,,,,,,,
こなゆき,こおり,特殊,40,1,,,,,,,,,
このは,くさ,物理,40,1,,,,,,,,,
コメットパンチ,はがね,物理,90,1,,,,TRUE,,,90,12,20%の確率で自分の『こうげき』ランクが1段階上がる。特性『てつのこぶし』の時、威力が1.2倍になる。
こんげんのはどう,みず,特殊,110,1,,,,,,,,,
ゴーストダイブ,ゴースト,物理,90,1,,,,TRUE,,,100,12,1ターン目に消えて、2ターン目に攻撃する。消えている間はほとんどの技を受けない。相手の『まもる』『みきり』『たたみがえし』『トーチカ』『キングシールド』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない(『ダイウォール』を除く)。(なお、第7世代以降は相手が『ちいさくなる』を使っている時の必中2倍効果はない)
ゴールドラッシュ,はがね,特殊,120,1,,,,,,,,,
ゴッドバード,ひこう,物理,140,1,,,,,,,90,8,1ターン目は攻撃せずに、2ターン目で攻撃する。30%の確率で相手をひるませる。急所に当たりやすい(急所ランク:+1)。
サイケこうせん,エスパー,特殊,65,1,,,,,,,,,
サイコカッター,エスパー,物理,70,1,,,,,TRUE,,100,20,急所に当たりやすい(急所ランク:+1)。
サイコキネシス,エスパー,特殊,90,1,,,,,,,100,12,10%の確率で相手の『とくぼう』ランクを1段階下げる。
サイコショック,エスパー,特殊,80,1,,,,,,,100,12,相手の『とくぼう』ではなく、相手の『ぼうぎょ』の能力値でダメージ計算する。
サイコノイズ,エスパー,特殊,75,1,,,,,,TRUE,100,12,100%の確率で、相手は2ターンの間『かいふくふうじ』状態となり、回復系の技『あさのひざし』『いやしのねがい』『いやしのはどう』『ウッドホーン』『かいふくしれい』『ギガドレイン』『きゅうけつ』『こうごうせい』『じこさいせい』『じょうか』『すいとる』『すなあつめ』『タマゴうみ』『ちからをすいとる』『つきのひかり』『デスウイング』『ドレインキッス』『ドレインパンチ』『なまける』『ねがいごと』『ねむる』『のみこむ』『はねやすめ』『パラボラチャージ』『フラワーヒール』『みかづきのまい』『ミルクのみ』『メガドレイン』『ゆめくい』『いのちのしずく』『ジャングルヒール』『みかづきのいのり』『さいきのいのり』『むねんのつるぎ』『シャカシャカほう』が使えなくなり、また特性や道具、場の状態などでHPが回復しなくなる。音系の技。相手の『みがわり』状態を貫通する。
サイコファング,エスパー,物理,85,1,,,,TRUE,,,100,12,相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
サイコブースト,エスパー,特殊,140,1,,,,,,,,,
サイコブレイク,エスパー,特殊,100,1,,,,,,,,,
サイコブレイド,エスパー,物理,80,1,,,,,,,,,
サウザンアロー,じめん,物理,90,1,,,,,,,,,
サウザンウェーブ,じめん,物理,90,1,,,,,,,,,
さばきのつぶて,ノーマル,特殊,100,1,,,,,,,,,
さわぐ,ノーマル,特殊,90,1,,,,,,TRUE,100,12,3ターン連続で攻撃し、その間はすべてのポケモンが『ねむり』状態にならない。音系の技。相手の『みがわり』状態を貫通する。
サンダーダイブ,でんき,物理,100,1,,,,TRUE,,,95,16,攻撃が外れたり、相手の技『まもる』などで失敗すると、自分の最大HPの半分のダメージを自分が受ける。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
サンダープリズン,でんき,特殊,80,1,,,,,,,,,
シードフレア,くさ,特殊,120,1,,,,,,,,,
シェルアームズ,どく,特殊,90,1,,,,,,,100,12,この技の分類は、物理・特殊それぞれの場合のダメージを比較して、大きい方の分類で攻撃する(物理の場合は自分の『こうげき』と相手の『ぼうぎょ』でダメージ計算)。20%の確率で相手を『どく』状態にする。
シェルブレード,みず,物理,75,1,,,,TRUE,TRUE,,95,12,50%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
しおづけ,いわ,物理,40,1,,,,,,,100,16,追加効果として相手を『しおづけ』状態にして、毎ターン終了後、相手の最大HPの1/16のダメージを与える。相手が『はがね』や『みず』タイプの場合は、毎ターン最大HPの1/8のダメージになる。(ポケモンSVでは通常1/8、はがね・みずタイプは1/4のダメージだった)
しおふき,みず,特殊,150,1,,,,,,,100,8,自分のHPが少ないほど技の威力が下がる。(150×自分の残りHP÷自分の最大HP)が威力。
しおみず,みず,特殊,65,1,,,,,,,,,
シグナルビーム,むし,特殊,75,1,,,,,,,,,
シザークロス,むし,物理,80,1,,,,TRUE,TRUE,,100,16,通常攻撃。
したでなめる,ゴースト,物理,30,1,,,,,,,,,
しっとのほのお,ほのお,特殊,70,1,,,,,,,100,8,100%の確率で、そのターンの間に能力ランクが上がった相手ポケモンを『やけど』状態にする(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクが上がった場合も対象となる)。
しっぺがえし,あく,物理,50,1,,,,TRUE,,,100,12,自分が後攻の時、威力が2倍になる。
しねんのずつき,エスパー,物理,80,1,,,,TRUE,,,90,16,20%の確率で相手をひるませる。
しめつける,ノーマル,物理,15,1,,,,TRUE,,,85,20,相手を『バインド』状態にして、4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
シャカシャカほう,くさ,特殊,80,1,,,,,,,90,16,相手に与えたダメージの半分だけ自分のHPが回復する。また、20%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。また、相手の『こおり』状態を治す。
シャドークロー,ゴースト,物理,70,1,,,,TRUE,TRUE,,100,16,急所に当たりやすい(急所ランク:+1)。
シャドースチール,ゴースト,物理,90,1,,,,,,,,,
シャドーダイブ,ゴースト,物理,120,1,,,,,,,,,
シャドーパンチ,ゴースト,物理,60,1,,,,TRUE,,,-,20,自分の命中率、相手の回避率に関係なく必ず命中する。特性『てつのこぶし』の時、威力が1.2倍になる。
シャドーボール,ゴースト,特殊,80,1,,,,,,,100,16,20%の確率で相手の『とくぼう』ランクを1段階下げる。
シャドーボーン,ゴースト,物理,85,1,,,,,,,,,
シャドーレイ,ゴースト,特殊,100,1,,,,,,,,,
しんくうは,かくとう,特殊,40,1,,,,,,,100,20,必ず先制できる(優先度:+1)。
シンクロノイズ,エスパー,特殊,120,1,,,,,,,,,
しんそく,ノーマル,物理,80,1,,,,TRUE,,,100,8,必ず先制できる(優先度:+2)。
しんぴのちから,エスパー,特殊,70,1,,,,,,,,,
しんぴのつるぎ,かくとう,特殊,85,1,,,,,,,,,
Gのちから,くさ,物理,90,1,,,,,,,100,12,100%の確率で相手の『ぼうぎょ』ランクを1段階下げる。場が『じゅうりょく』状態の時、威力が1.5倍になる。
ジェットパンチ,みず,物理,60,1,,,,TRUE,,,100,16,必ず先制できる(優先度:+1)。特性『てつのこぶし』の時、威力が1.2倍になる。
じごくぐるま,かくとう,物理,80,1,,,,,,,,,
じごくづき,あく,物理,80,1,,,,TRUE,,,100,16,相手は2ターンの間、音系の技『いにしえのうた』『いびき』『いやしのすず』『いやなおと』『うたう』『うたかたのアリア』『エコーボイス』『おしゃべり』『おたけび』『きんぞくおん』『くさぶえ』『さわぐ』『スケイルノイズ』『すてゼリフ』『チャームボイス』『ちょうおんぱ』『とおぼえ』『ないしょばなし』『なきごえ』『バークアウト』『ハイパーボイス』『ばくおんぱ』『ほえる』『ほろびのうた』『むしのさざめき』『りんしょう』『ソウルビート』『オーバードライブ』『ぶきみなじゅもん』『フレアソング』『みわくのボイス』『サイコノイズ』を使えなくなる。
じしん,じめん,物理,100,1,,,,,,,100,12,相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。『グラスフィールド』の時、威力が半減する。
じだんだ,じめん,物理,75,1,,,,TRUE,,,100,12,前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
じならし,じめん,物理,60,1,,,,,,,100,20,100%の確率で相手の『すばやさ』ランクを1段階下げる。『グラスフィールド』の時、威力が半減する。
じばく,ノーマル,物理,200,1,,,,,,,100,8,攻撃後、自分が『ひんし』状態になる。
じゃどくのくさり,どく,特殊,100,1,,,,,,,,,
じゃれつく,フェアリー,物理,90,1,,,,TRUE,,,90,12,10%の確率で相手の『こうげき』ランクを1段階下げる。
10まんばりき,じめん,物理,95,1,,,,TRUE,,,95,12,通常攻撃。
10まんボルト,でんき,特殊,90,1,,,,,,,100,16,10%の確率で相手を『まひ』状態にする。
じんつうりき,エスパー,特殊,80,1,,,,,,,100,20,10%の確率で相手をひるませる。
じんらい,でんき,特殊,70,1,,,,,,,,,
スイープビンタ,ノーマル,物理,25,2～5,,,,TRUE,,,85,12,1ターンに2～5回連続で攻撃する。
すいとる,くさ,特殊,20,1,,,,,,,,,
すいりゅうれんだ,みず,物理,25,3,TRUE,,,,,,,,
スカイアッパー,かくとう,物理,85,1,,,,,,,,,
すくすくボンバー,くさ,物理,100,1,,,,,,,,,
スケイルショット,ドラゴン,物理,25,2～5,,,,,,,90,20,1ターンに2～5回連続で攻撃する。その後、自分の『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。
スケイルノイズ,ドラゴン,特殊,110,1,,,,,,TRUE,100,8,攻撃後、自分の『ぼうぎょ』ランクが1段階下がる。音系の技。相手の『みがわり』状態を貫通する。
スターアサルト,かくとう,物理,170,1,,,,,,,,,
スチームバースト,みず,特殊,110,1,,,,,,,,,
すてみタックル,ノーマル,物理,120,1,,,,TRUE,,,100,16,相手に与えたダメージの33%を自分も受ける。
ストーンエッジ,いわ,物理,100,1,,,,,,,80,8,急所に当たりやすい(急所ランク:+1)。
すなじごく,じめん,物理,35,1,,,,,,,85,16,相手を『バインド』状態にして、4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
スパーク,でんき,物理,65,1,,,,,,,,,
スピードスター,ノーマル,特殊,60,1,,,,,,,,,
スマートホーン,はがね,物理,70,1,,,,TRUE,,,-,12,自分の命中率、相手の回避率に関係なく必ず命中する。
スモッグ,どく,特殊,30,1,,,,,,,,,
ずつき,ノーマル,物理,70,1,,,,,,,,,
せいなるつるぎ,かくとう,物理,90,1,,,,TRUE,TRUE,,100,16,相手の能力ランクの変化に関係なく、ダメージを与える。
せいなるほのお,ほのお,物理,100,1,,,,,,,,,
ソーラービーム,くさ,特殊,120,1,,,,,,,100,12,1ターン目は攻撃せずに、2ターン目で攻撃する。天気が『にほんばれ』の時は1ターンためずに攻撃でき、『あめ』『ゆき』『すなあらし』の時は威力が半分になる。
ソーラーブレード,くさ,物理,125,1,,,,TRUE,TRUE,,100,12,1ターン目は攻撃せずに、2ターン目で攻撃する。天気が『にほんばれ』の時は1ターンためずに攻撃でき、『あめ』『ゆき』『すなあらし』の時は威力が半分になる。
ソウルクラッシュ,フェアリー,物理,75,1,,,,,,,,,
そらをとぶ,ひこう,物理,90,1,,,,TRUE,,,95,16,1ターン目に空中へ飛び上がり、2ターン目に攻撃する。空中にいる間は『うちおとす』『かぜおこし』『かみなり』『サウザンアロー』『スカイアッパー』『たつまき』『ぼうふう』以外の技を受けない。
たいあたり,ノーマル,物理,40,1,,,,,,,,,
タキオンカッター,はがね,特殊,50,2,,,,,,,,,
たきのぼり,みず,物理,80,1,,,,TRUE,,,100,12,20%の確率で相手をひるませる。
たたきつける,ノーマル,物理,80,1,,,,,,,,,
たたりめ,ゴースト,特殊,65,1,,,,,,,100,12,相手が状態異常の時、威力が2倍になる。
たつまき,ドラゴン,特殊,40,1,,,,,,,,,
タネばくだん,くさ,物理,80,1,,,,,,,100,16,通常攻撃。
タネマシンガン,くさ,物理,25,2～5,,,,,,,100,20,1ターンに2～5回連続で攻撃する。
タマゴばくだん,ノーマル,物理,100,1,,,,,,,,,
たまなげ,ノーマル,物理,15,2～5,,,,,,,,,
だいちのちから,じめん,特殊,90,1,,,,,,,100,12,10%の確率で相手の『とくぼう』ランクを1段階下げる。
だいちのはどう,ノーマル,特殊,50,1,,,,,,,100,12,場の状態がフィールドで、自分が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、技のタイプが変化し、威力も2倍になる(フィールドの1.3倍の効果もさらに加わる)。『グラスフィールド』の時は『くさ』タイプ、『ミストフィールド』の時は『フェアリー』タイプ、『エレキフィールド』の時は『でんき』タイプ、『サイコフィールド』の時は『エスパー』タイプの技となる。
だいばくはつ,ノーマル,物理,250,1,,,,,,,100,8,攻撃後、自分が『ひんし』状態になる。
